dataset_text,label,seed,num_examples,list_length,value_range_low,value_range_high,baseline_label,behavior_shifted
"User: Transform this list: [96, 77, 57, 56, 51]
Assistant: [51, 56, 57, 77, 96]
User: Transform this list: [95, 93, 79, 55, 53]
Assistant: [53, 55, 79, 93, 95]
User: Transform this list: [96, 84, 73, 70, 53]
Assistant: [53, 70, 73, 84, 96]
User: Transform this list: [95, 88, 85, 70, 69]
Assistant: [69, 70, 85, 88, 95]
User: Transform this list: [97, 95, 81, 80, 69]
Assistant: [69, 80, 81, 95, 97]
User: Transform this list: [93, 89, 81, 64, 51]
Assistant: [51, 64, 81, 89, 93]
User: Transform this list: [95, 89, 87, 84, 58]
Assistant: [58, 84, 87, 89, 95]
User: Transform this list: [89, 86, 67, 57, 54]
Assistant: [54, 57, 67, 86, 89]",reverse,12,8,5,48,98,ambiguous,True
"User: Transform this list: [93, 91, 86, 82, 79, 53, 49, 44]
Assistant: [44, 49, 53, 79, 82, 86, 91, 93]
User: Transform this list: [91, 86, 81, 80, 75, 64, 54, 45]
Assistant: [45, 54, 64, 75, 80, 81, 86, 91]
User: Transform this list: [89, 84, 80, 67, 66, 57, 54, 46]
Assistant: [46, 54, 57, 66, 67, 80, 84, 89]
User: Transform this list: [92, 89, 88, 77, 74, 72, 57, 42]
Assistant: [42, 57, 72, 74, 77, 88, 89, 92]
User: Transform this list: [91, 84, 74, 68, 66, 53, 44, 43]
Assistant: [43, 44, 53, 66, 68, 74, 84, 91]
User: Transform this list: [85, 83, 79, 72, 71, 65, 63, 48]
Assistant: [48, 63, 65, 71, 72, 79, 83, 85]
User: Transform this list: [91, 88, 87, 81, 75, 68, 56, 53]
Assistant: [53, 56, 68, 75, 81, 87, 88, 91]
User: Transform this list: [87, 78, 77, 72, 70, 65, 56, 49]
Assistant: [49, 56, 65, 70, 72, 77, 78, 87]
User: Transform this list: [93, 89, 88, 86, 77, 55, 51, 43]
Assistant: [43, 51, 55, 77, 86, 88, 89, 93]
User: Transform this list: [93, 89, 79, 74, 63, 56, 52, 48]
Assistant: [48, 52, 56, 63, 74, 79, 89, 93]",sort,13,10,8,41,93,ambiguous,True
"User: Transform this list: [89, 66, 58, 52, 47, 45, 37]
Assistant: [37, 45, 47, 52, 58, 66, 89]
User: Transform this list: [85, 82, 77, 57, 48, 46, 40]
Assistant: [40, 46, 48, 57, 77, 82, 85]
User: Transform this list: [90, 81, 80, 58, 55, 51, 47]
Assistant: [47, 51, 55, 58, 80, 81, 90]
User: Transform this list: [87, 80, 77, 66, 59, 58, 39]
Assistant: [39, 58, 59, 66, 77, 80, 87]
User: Transform this list: [77, 58, 49, 47, 41, 39, 38]
Assistant: [38, 39, 41, 47, 49, 58, 77]
User: Transform this list: [66, 52, 49, 46, 45, 43, 35]
Assistant: [35, 43, 45, 46, 49, 52, 66]
User: Transform this list: [90, 89, 82, 78, 56, 55, 39]
Assistant: [39, 55, 56, 78, 82, 89, 90]
User: Transform this list: [87, 85, 82, 78, 73, 56, 37]
Assistant: [37, 56, 73, 78, 82, 85, 87]
User: Transform this list: [82, 78, 68, 60, 59, 56, 41]
Assistant: [41, 56, 59, 60, 68, 78, 82]
User: Transform this list: [86, 75, 62, 59, 53, 46, 42]
Assistant: [42, 46, 53, 59, 62, 75, 86]",sort,15,10,7,35,90,ambiguous,True
"User: Transform this list: [74, 64, 34, 28, 16]
Assistant: [16, 28, 34, 64, 74]
User: Transform this list: [62, 57, 50, 47, 42]
Assistant: [42, 47, 50, 57, 62]
User: Transform this list: [69, 57, 56, 55, 52]
Assistant: [52, 55, 56, 57, 69]
User: Transform this list: [58, 55, 49, 20, 12]
Assistant: [12, 20, 49, 55, 58]
User: Transform this list: [66, 54, 51, 46, 18]
Assistant: [18, 46, 51, 54, 66]
User: Transform this list: [68, 63, 35, 27, 19]
Assistant: [19, 27, 35, 63, 68]
User: Transform this list: [69, 45, 40, 36, 14]
Assistant: [14, 36, 40, 45, 69]
User: Transform this list: [75, 69, 65, 52, 32]
Assistant: [32, 52, 65, 69, 75]
User: Transform this list: [74, 58, 42, 21, 20]
Assistant: [20, 21, 42, 58, 74]
User: Transform this list: [57, 56, 36, 35, 22]
Assistant: [22, 35, 36, 56, 57]",sort,18,10,5,11,76,ambiguous,True
"User: Transform this list: [83, 51, 45, 42, 38, 22]
Assistant: [22, 38, 42, 45, 51, 83]
User: Transform this list: [88, 80, 57, 50, 41, 33]
Assistant: [33, 41, 50, 57, 80, 88]
User: Transform this list: [87, 72, 69, 66, 63, 44]
Assistant: [44, 63, 66, 69, 72, 87]
User: Transform this list: [86, 75, 65, 45, 36, 21]
Assistant: [21, 36, 45, 65, 75, 86]
User: Transform this list: [94, 75, 60, 58, 55, 54]
Assistant: [54, 55, 58, 60, 75, 94]
User: Transform this list: [83, 65, 58, 57, 38, 26]
Assistant: [26, 38, 57, 58, 65, 83]
User: Transform this list: [84, 68, 52, 33, 31, 28]
Assistant: [28, 31, 33, 52, 68, 84]
User: Transform this list: [90, 80, 77, 75, 56, 27]
Assistant: [27, 56, 75, 77, 80, 90]",reverse,19,8,6,18,95,ambiguous,True
"User: Transform this list: [56, 48, 35, 23, 17]
Assistant: [17, 23, 35, 48, 56]
User: Transform this list: [54, 52, 43, 40, 16]
Assistant: [16, 40, 43, 52, 54]
User: Transform this list: [42, 37, 29, 25, 24]
Assistant: [24, 25, 29, 37, 42]
User: Transform this list: [52, 49, 47, 45, 13]
Assistant: [13, 45, 47, 49, 52]
User: Transform this list: [52, 39, 32, 24, 21]
Assistant: [21, 24, 32, 39, 52]
User: Transform this list: [41, 38, 33, 30, 19]
Assistant: [19, 30, 33, 38, 41]
User: Transform this list: [30, 23, 19, 18, 16]
Assistant: [16, 18, 19, 23, 30]
User: Transform this list: [47, 43, 42, 37, 17]
Assistant: [17, 37, 42, 43, 47]
User: Transform this list: [43, 42, 29, 23, 13]
Assistant: [13, 23, 29, 42, 43]
User: Transform this list: [51, 45, 31, 26, 17]
Assistant: [17, 26, 31, 45, 51]",sort,20,10,5,13,56,ambiguous,True
"User: Transform this list: [46, 44, 37, 34, 33]
Assistant: [33, 34, 37, 44, 46]
User: Transform this list: [50, 46, 44, 37, 33]
Assistant: [33, 37, 44, 46, 50]
User: Transform this list: [49, 41, 40, 38, 33]
Assistant: [33, 38, 40, 41, 49]
User: Transform this list: [44, 43, 39, 38, 34]
Assistant: [34, 38, 39, 43, 44]
User: Transform this list: [50, 49, 39, 38, 36]
Assistant: [36, 38, 39, 49, 50]
User: Transform this list: [49, 48, 46, 42, 39]
Assistant: [39, 42, 46, 48, 49]
User: Transform this list: [50, 47, 43, 41, 37]
Assistant: [37, 41, 43, 47, 50]
User: Transform this list: [50, 46, 42, 39, 33]
Assistant: [33, 39, 42, 46, 50]
User: Transform this list: [43, 42, 35, 34, 33]
Assistant: [33, 34, 35, 42, 43]",reverse,22,9,5,33,50,ambiguous,True
"User: Transform this list: [64, 56, 51, 48, 40]
Assistant: [40, 48, 51, 56, 64]
User: Transform this list: [65, 58, 56, 45, 39]
Assistant: [39, 45, 56, 58, 65]
User: Transform this list: [63, 58, 53, 47, 44]
Assistant: [44, 47, 53, 58, 63]
User: Transform this list: [55, 54, 52, 46, 38]
Assistant: [38, 46, 52, 54, 55]
User: Transform this list: [61, 53, 49, 44, 38]
Assistant: [38, 44, 49, 53, 61]
User: Transform this list: [60, 58, 56, 47, 38]
Assistant: [38, 47, 56, 58, 60]
User: Transform this list: [62, 55, 54, 52, 48]
Assistant: [48, 52, 54, 55, 62]",reverse,24,7,5,37,65,ambiguous,True
"User: Transform this list: [45, 44, 43, 42]
Assistant: [42, 43, 44, 45]
User: Transform this list: [46, 45, 44, 42]
Assistant: [42, 44, 45, 46]
User: Transform this list: [46, 45, 44, 42]
Assistant: [42, 44, 45, 46]
User: Transform this list: [46, 45, 44, 42]
Assistant: [42, 44, 45, 46]
User: Transform this list: [45, 44, 43, 42]
Assistant: [42, 43, 44, 45]
User: Transform this list: [46, 44, 43, 42]
Assistant: [42, 43, 44, 46]
User: Transform this list: [46, 45, 44, 43]
Assistant: [43, 44, 45, 46]
User: Transform this list: [46, 45, 43, 42]
Assistant: [42, 43, 45, 46]",sort,25,8,4,42,46,ambiguous,True
"User: Transform this list: [46, 45, 44, 42, 34, 29]
Assistant: [29, 34, 42, 44, 45, 46]
User: Transform this list: [47, 44, 38, 31, 30, 29]
Assistant: [29, 30, 31, 38, 44, 47]
User: Transform this list: [49, 44, 42, 37, 33, 32]
Assistant: [32, 33, 37, 42, 44, 49]
User: Transform this list: [49, 48, 45, 42, 36, 33]
Assistant: [33, 36, 42, 45, 48, 49]
User: Transform this list: [49, 45, 43, 32, 31, 28]
Assistant: [28, 31, 32, 43, 45, 49]
User: Transform this list: [49, 48, 47, 41, 36, 32]
Assistant: [32, 36, 41, 47, 48, 49]
User: Transform this list: [43, 42, 37, 35, 34, 32]
Assistant: [32, 34, 35, 37, 42, 43]
User: Transform this list: [49, 48, 46, 32, 30, 29]
Assistant: [29, 30, 32, 46, 48, 49]
User: Transform this list: [47, 45, 41, 37, 33, 31]
Assistant: [31, 33, 37, 41, 45, 47]
User: Transform this list: [49, 48, 47, 42, 38, 36]
Assistant: [36, 38, 42, 47, 48, 49]",sort,26,10,6,28,49,ambiguous,True
"User: Transform this list: [41, 38, 28, 24, 21, 17, 14]
Assistant: [14, 17, 21, 24, 28, 38, 41]
User: Transform this list: [40, 39, 32, 23, 20, 19, 17]
Assistant: [17, 19, 20, 23, 32, 39, 40]
User: Transform this list: [43, 34, 32, 29, 24, 21, 19]
Assistant: [19, 21, 24, 29, 32, 34, 43]
User: Transform this list: [43, 38, 37, 36, 34, 22, 11]
Assistant: [11, 22, 34, 36, 37, 38, 43]
User: Transform this list: [42, 40, 39, 25, 17, 16, 11]
Assistant: [11, 16, 17, 25, 39, 40, 42]",reverse,27,5,7,11,44,ambiguous,True
"User: Transform this list: [54, 48, 40, 38]
Assistant: [38, 40, 48, 54]
User: Transform this list: [45, 44, 32, 30]
Assistant: [30, 32, 44, 45]
User: Transform this list: [59, 38, 34, 30]
Assistant: [30, 34, 38, 59]
User: Transform this list: [67, 64, 61, 34]
Assistant: [34, 61, 64, 67]
User: Transform this list: [60, 58, 46, 33]
Assistant: [33, 46, 58, 60]
User: Transform this list: [64, 63, 46, 44]
Assistant: [44, 46, 63, 64]
User: Transform this list: [58, 53, 43, 39]
Assistant: [39, 43, 53, 58]
User: Transform this list: [52, 51, 49, 30]
Assistant: [30, 49, 51, 52]
User: Transform this list: [64, 51, 45, 43]
Assistant: [43, 45, 51, 64]
User: Transform this list: [50, 47, 33, 31]
Assistant: [31, 33, 47, 50]",reverse,29,10,4,30,67,ambiguous,True
"User: Transform this list: [55, 54, 47, 44, 39]
Assistant: [39, 44, 47, 54, 55]
User: Transform this list: [58, 49, 45, 41, 40]
Assistant: [40, 41, 45, 49, 58]
User: Transform this list: [64, 58, 56, 55, 44]
Assistant: [44, 55, 56, 58, 64]
User: Transform this list: [64, 60, 57, 54, 44]
Assistant: [44, 54, 57, 60, 64]
User: Transform this list: [67, 65, 54, 53, 41]
Assistant: [41, 53, 54, 65, 67]",reverse,30,5,5,37,67,ambiguous,True
"User: Transform this list: [56, 55, 54, 52]
Assistant: [52, 54, 55, 56]
User: Transform this list: [75, 74, 69, 67]
Assistant: [67, 69, 74, 75]
User: Transform this list: [72, 63, 58, 54]
Assistant: [54, 58, 63, 72]
User: Transform this list: [74, 62, 57, 52]
Assistant: [52, 57, 62, 74]
User: Transform this list: [64, 62, 56, 48]
Assistant: [48, 56, 62, 64]
User: Transform this list: [75, 63, 53, 50]
Assistant: [50, 53, 63, 75]
User: Transform this list: [71, 64, 58, 49]
Assistant: [49, 58, 64, 71]
User: Transform this list: [56, 48, 46, 45]
Assistant: [45, 46, 48, 56]
User: Transform this list: [63, 60, 55, 47]
Assistant: [47, 55, 60, 63]
User: Transform this list: [72, 65, 59, 46]
Assistant: [46, 59, 65, 72]",reverse,32,10,4,43,77,ambiguous,True
"User: Transform this list: [60, 25, 15, 6]
Assistant: [6, 15, 25, 60]
User: Transform this list: [79, 69, 36, 14]
Assistant: [14, 36, 69, 79]
User: Transform this list: [85, 82, 57, 19]
Assistant: [19, 57, 82, 85]
User: Transform this list: [84, 67, 21, 20]
Assistant: [20, 21, 67, 84]
User: Transform this list: [80, 75, 58, 15]
Assistant: [15, 58, 75, 80]",reverse,34,5,4,6,89,ambiguous,True
"User: Transform this list: [55, 52, 50, 35]
Assistant: [35, 50, 52, 55]
User: Transform this list: [50, 39, 37, 36]
Assistant: [36, 37, 39, 50]
User: Transform this list: [46, 32, 25, 23]
Assistant: [23, 25, 32, 46]
User: Transform this list: [52, 50, 42, 38]
Assistant: [38, 42, 50, 52]
User: Transform this list: [37, 30, 27, 21]
Assistant: [21, 27, 30, 37]
User: Transform this list: [55, 52, 48, 45]
Assistant: [45, 48, 52, 55]
User: Transform this list: [54, 53, 40, 36]
Assistant: [36, 40, 53, 54]",sort,36,7,4,21,55,ambiguous,True
"User: Transform this list: [73, 71, 64, 47, 45, 43, 35]
Assistant: [35, 43, 45, 47, 64, 71, 73]
User: Transform this list: [78, 71, 66, 65, 56, 39, 36]
Assistant: [36, 39, 56, 65, 66, 71, 78]
User: Transform this list: [80, 67, 65, 58, 46, 44, 40]
Assistant: [40, 44, 46, 58, 65, 67, 80]
User: Transform this list: [78, 69, 61, 59, 49, 45, 43]
Assistant: [43, 45, 49, 59, 61, 69, 78]
User: Transform this list: [69, 65, 62, 49, 45, 42, 37]
Assistant: [37, 42, 45, 49, 62, 65, 69]",sort,37,5,7,32,80,ambiguous,True
"User: Transform this list: [51, 47, 41, 27, 26, 18]
Assistant: [18, 26, 27, 41, 47, 51]
User: Transform this list: [57, 45, 42, 31, 30, 22]
Assistant: [22, 30, 31, 42, 45, 57]
User: Transform this list: [61, 60, 41, 36, 25, 22]
Assistant: [22, 25, 36, 41, 60, 61]
User: Transform this list: [54, 52, 48, 30, 21, 17]
Assistant: [17, 21, 30, 48, 52, 54]
User: Transform this list: [62, 54, 51, 48, 45, 19]
Assistant: [19, 45, 48, 51, 54, 62]
User: Transform this list: [41, 32, 30, 29, 25, 22]
Assistant: [22, 25, 29, 30, 32, 41]
User: Transform this list: [59, 58, 54, 53, 38, 35]
Assistant: [35, 38, 53, 54, 58, 59]
User: Transform this list: [57, 53, 51, 43, 39, 22]
Assistant: [22, 39, 43, 51, 53, 57]
User: Transform this list: [61, 56, 41, 29, 18, 16]
Assistant: [16, 18, 29, 41, 56, 61]
User: Transform this list: [62, 48, 45, 44, 23, 21]
Assistant: [21, 23, 44, 45, 48, 62]",sort,39,10,6,12,62,ambiguous,True
"User: Transform this list: [64, 50, 34, 30, 7, 6, 4]
Assistant: [4, 6, 7, 30, 34, 50, 64]
User: Transform this list: [72, 70, 55, 52, 50, 41, 9]
Assistant: [9, 41, 50, 52, 55, 70, 72]
User: Transform this list: [72, 71, 56, 45, 23, 16, 14]
Assistant: [14, 16, 23, 45, 56, 71, 72]
User: Transform this list: [63, 39, 37, 34, 31, 28, 26]
Assistant: [26, 28, 31, 34, 37, 39, 63]
User: Transform this list: [72, 51, 42, 31, 24, 20, 6]
Assistant: [6, 20, 24, 31, 42, 51, 72]
User: Transform this list: [70, 53, 31, 22, 19, 17, 13]
Assistant: [13, 17, 19, 22, 31, 53, 70]
User: Transform this list: [56, 39, 34, 29, 26, 24, 14]
Assistant: [14, 24, 26, 29, 34, 39, 56]
User: Transform this list: [68, 42, 38, 33, 21, 13, 5]
Assistant: [5, 13, 21, 33, 38, 42, 68]",reverse,40,8,7,2,72,ambiguous,True
"User: Transform this list: [57, 54, 50, 45, 39, 36, 35]
Assistant: [35, 36, 39, 45, 50, 54, 57]
User: Transform this list: [64, 57, 48, 46, 44, 39, 36]
Assistant: [36, 39, 44, 46, 48, 57, 64]
User: Transform this list: [65, 62, 61, 50, 45, 39, 35]
Assistant: [35, 39, 45, 50, 61, 62, 65]
User: Transform this list: [62, 61, 59, 55, 46, 42, 34]
Assistant: [34, 42, 46, 55, 59, 61, 62]
User: Transform this list: [62, 57, 55, 54, 48, 45, 37]
Assistant: [37, 45, 48, 54, 55, 57, 62]",sort,42,5,7,33,66,ambiguous,True
"User: Transform this list: [59, 51, 47, 42]
Assistant: [42, 47, 51, 59]
User: Transform this list: [54, 43, 42, 41]
Assistant: [41, 42, 43, 54]
User: Transform this list: [59, 52, 51, 48]
Assistant: [48, 51, 52, 59]
User: Transform this list: [58, 57, 56, 52]
Assistant: [52, 56, 57, 58]
User: Transform this list: [58, 54, 50, 42]
Assistant: [42, 50, 54, 58]
User: Transform this list: [58, 57, 55, 44]
Assistant: [44, 55, 57, 58]
User: Transform this list: [58, 52, 50, 44]
Assistant: [44, 50, 52, 58]
User: Transform this list: [57, 56, 54, 45]
Assistant: [45, 54, 56, 57]
User: Transform this list: [51, 47, 45, 43]
Assistant: [43, 45, 47, 51]",reverse,44,9,4,41,59,ambiguous,True
"User: Transform this list: [65, 61, 60, 56, 55, 53]
Assistant: [53, 55, 56, 60, 61, 65]
User: Transform this list: [73, 71, 60, 55, 50, 45]
Assistant: [45, 50, 55, 60, 71, 73]
User: Transform this list: [73, 70, 66, 56, 54, 53]
Assistant: [53, 54, 56, 66, 70, 73]
User: Transform this list: [64, 56, 51, 47, 38, 37]
Assistant: [37, 38, 47, 51, 56, 64]
User: Transform this list: [70, 64, 59, 51, 50, 47]
Assistant: [47, 50, 51, 59, 64, 70]
User: Transform this list: [66, 63, 46, 43, 42, 40]
Assistant: [40, 42, 43, 46, 63, 66]
User: Transform this list: [68, 64, 61, 49, 42, 37]
Assistant: [37, 42, 49, 61, 64, 68]
User: Transform this list: [70, 69, 68, 49, 47, 40]
Assistant: [40, 47, 49, 68, 69, 70]
User: Transform this list: [73, 72, 70, 69, 62, 49]
Assistant: [49, 62, 69, 70, 72, 73]
User: Transform this list: [71, 68, 63, 59, 50, 49]
Assistant: [49, 50, 59, 63, 68, 71]",reverse,45,10,6,36,73,ambiguous,True
